Nombre y apellido;Team;Posicion;Value;Points;Average;Matches;Goals;Cards;Rival;¿Casa o Fuera?;Media en Casa;Media fuera;Estado;Nº Jornada;Puntos
Viktor Tsygankov;Girona;Centro;13.696.000;82;5,9;14;3;0;Atlético;0;5,0;6,7;En forma;J18;0
Jeremías Ledesma;Cádiz;Portero;10.195.000;82;5,5;15;0;0;Granada;1;5,0;6,0;En forma;J18;0
Lucas Ocampos;Sevilla;Delantero;10.332.000;82;4,8;17;2;4;Athletic;0;4,3;5,3;En forma;J18;9
Daniel Vivian;Athletic Club;Defensa;10.139.000;82;4,6;18;0;3;0;4,8;4,3;En forma;J18;6
David Soria;Getafe;Portero;10.007.000;82;4,6;18;0;2;Rayo Vallecano;0;4,5;4,6;En forma;J18;4
Vedat Muriqi;Mallorca;Delantero;12.882.000;81;6,8;12;4;0;Real Madrid;1;6,6;6,9;En forma;J18;0
Oihan Sancet;Athletic Club;Centro;13.856.000;81;5,1;16;3;3;0;5,1;5,0;En forma;J18;3
Rubén Alcaraz;Cádiz;Centro;5.159.000;80;4,7;17;1;8;Granada;1;4,9;4,5;En forma;J18;4
Marcos Llorente;Atlético;Centro;10.270.000;80;4,4;18;3;3;Girona;1;5,5;3,1;En forma;J18;6
João Cancelo;Barcelona;Defensa;16.001.000;79;5,3;15;2;4;Las Palmas;1;6,9;2,8;En forma;J18;5
Paulo Gazzaniga;Girona;Portero;10.066.000;79;4,4;18;0;2;Atlético;0;4,1;4,7;En forma;J18;5
Javier Guerra;Valencia;Centro;10.364.000;78;4,9;16;3;3;Villarreal;0;5,9;4,1;En forma;J18;0
Jon Guridi;Alavés;Centro;5.593.000;78;4,6;17;0;1;Real Sociedad;1;3,9;5,2;En forma;J18;2
Largie Ramazani;Almería;Delantero;4.717.000;78;4,3;18;2;4;Osasuna;1;5,7;3,0;En forma;J18;2
Alexander Sørloth;Villarreal;Delantero;10.124.000;77;4,8;16;6;1;Valencia;1;3,9;6,0;En forma;J18;4
Sergi Cardona;Las Palmas;Defensa;11.854.000;77;4,5;17;0;6;Barcelona;0;5,3;4,0;En forma;J18;6
Samu Omorodion;Alavés;Delantero;7.294.000;77;4,5;17;5;2;Real Sociedad;1;3,1;5,4;En forma;J18;2
Daley Blind;Girona;Defensa;10.881.000;77;4,3;18;0;3;Atlético;0;4,6;4,0;En forma;J18;4
Hamari Traoré;Real Sociedad;Defensa;10.826.000;77;4,3;18;0;4;Alavés;0;4,4;4,1;En forma;J18;2
Igor Zubeldia;Real Sociedad;Defensa;7.872.000;76;4,5;17;0;6;Alavés;0;4,7;4,3;En forma;J18;5
Diego López;Valencia;Delantero;6.460.000;76;4,2;18;2;1;Villarreal;0;3,5;4,8;En forma;J18;4
Iago Aspas;Celta;Delantero;17.887.000;75;4,4;17;1;5;Betis;0;3,7;5,3;En forma;J18;0
Mikel Merino;Real Sociedad;Centro;11.635.000;74;4,9;15;1;3;Alavés;0;4,4;5,4;En forma;J18;3
Unai Núñez;Celta;Defensa;10.132.000;74;4,1;18;1;4;Betis;0;3,6;4,7;En forma;J18;3
Ronald Araújo;Barcelona;Defensa;15.387.000;73;6,1;12;1;3;Las Palmas;1;5,3;7,2;En forma;J18;2
Willian José;Betis;Delantero;10.111.000;73;4,9;15;6;1;Celta;1;6,3;3,3;En forma;J18;4
Antonio Rüdiger;Real Madrid;Defensa;12.955.000;73;4,3;17;0;7;Mallorca;0;4,1;4,4;En forma;J18;6
Dani Parejo;Villarreal;Centro;10.806.000;73;4,3;17;2;2;Valencia;1;4,4;4,1;En forma;J18;10
Dani Rodríguez;Mallorca;Centro;3.557.000;73;4,3;17;2;5;Real Madrid;1;5,6;3,1;En forma;J18;14
Myrto Uzuni;Granada;Delantero;3.136.000;73;4,1;18;5;1;Cádiz;0;4,8;3,3;En forma;J18;3
 Gavi;Barcelona;Centro;9.963.000;72;6,0;12;1;5;Las Palmas;1;5,8;6,2;En forma;J18;0
Ander Barrenetxea;Real Sociedad;Centro;8.373.000;72;5,1;14;3;0;Alavés;0;5,8;4,3;En forma;J18;0
João Félix;Barcelona;Delantero;15.368.000;72;4,8;15;3;3;Las Palmas;1;5,7;3,5;En forma;J18;-1
Saúl Coco;Las Palmas;Defensa;6.775.000;72;4,8;15;1;2;Barcelona;0;4,6;5,0;En forma;J18;6
Abdón Prats;Mallorca;Delantero;4.463.000;72;4,8;15;5;1;Real Madrid;1;4,6;5,0;En forma;J18;2
Ivan Rakitić;Sevilla;Centro;15.007.000;72;4,5;16;2;5;Athletic;0;4,8;4,3;En forma;J18;0
Ferran Torres;Barcelona;Delantero;6.630.000;72;4,2;17;3;2;Las Palmas;1;5,0;3,1;En forma;J18;6
Fali Giménez;Cádiz;Defensa;3.297.000;72;4,2;17;0;7;Granada;1;4,6;3,9;En forma;J18;6
Antonio Sivera;Alavés;Portero;6.931.000;72;4,0;18;0;1;Real Sociedad;1;3,6;4,4;En forma;J18;3
Saúl Ñíguez;Atlético;Centro;5.898.000;72;4,0;18;0;2;Girona;1;3,9;4,1;En forma;J18;3
Ter Stegen;Barcelona;Portero;8.652.000;71;5,5;13;0;1;Las Palmas;1;6,3;4,5;En forma;J18;0
Rodrigo De Paul;Atlético;Centro;11.804.000;71;4,7;15;0;3;Girona;1;5,0;4,3;En forma;J18;3
Aimar Oroz;Osasuna;Centro;4.997.000;71;3,9;18;1;2;Almería;0;4,1;3,8;En forma;J18;2
Fran Pérez;Valencia;Centro;2.929.000;71;3,9;18;1;4;Villarreal;0;4,3;3,7;En forma;J18;2
Iñigo Ruiz De Galarreta;Athletic Club;Centro;8.860.000;70;5,4;13;1;4;0;5,2;5,6;En forma;J18;0
Alex Baena;Villarreal;Centro;12.816.000;70;4,4;16;1;6;Valencia;1;6,5;2,3;En forma;J18;6
Gastón Álvarez;Getafe;Defensa;8.529.000;70;4,4;16;1;4;Rayo Vallecano;0;4,5;4,3;En forma;J18;3
Ander Guevara;Alavés;Centro;4.496.000;70;4,1;17;1;5;Real Sociedad;1;4,4;3,9;En forma;J18;3
Brahim Díaz;Real Madrid;Centro;7.458.000;69;5,3;13;3;0;Mallorca;0;7,1;3,2;En forma;J18;6
 Koke;Atlético;Centro;10.484.000;69;4,9;15;0;4;Girona;1;5,7;3,6;En forma;J18;4
Eric García;Girona;Defensa;7.499.000;69;4,6;15;1;2;Atlético;0;4,8;5,0;En forma;J18;5
Mika Mármol;Las Palmas;Defensa;10.694.000;69;4,3;16;0;4;Barcelona;0;3,7;4,8;En forma;J18;4
Óscar Valentín;Rayo Vallecano;Centro;5.292.000;69;4,3;16;1;4;Getafe;1;4,0;4,6;En forma;J18;0
Frenkie De Jong;Barcelona;Centro;16.812.000;68;6,8;10;1;5;Las Palmas;1;5,6;8,0;En forma;J18;0
Luka Modrić;Real Madrid;Centro;10.842.000;68;4,5;15;1;1;Mallorca;0;6,0;3,6;En forma;J18;3
Sergio Herrera;Osasuna;Portero;5.623.000;68;4,5;15;0;2;Almería;0;4,8;4,3;En forma;J18;6
Mario Hermoso;Atlético;Defensa;11.116.000;68;4,3;16;0;5;Girona;1;4,6;3,9;En forma;J18;5
Julián Araujo;Las Palmas;Defensa;4.877.000;68;4,3;16;1;4;Barcelona;0;5,1;3,6;En forma;J18;6
Juanmi Latasa;Getafe;Delantero;3.356.000;68;3,8;18;2;3;Rayo Vallecano;0;3,3;4,2;En forma;J18;6
Adrià Pedrosa;Sevilla;Defensa;6.278.000;67;4,2;16;1;1;Athletic;0;4,1;4,2;En forma;J18;13
Gerard Gumbau;Granada;Centro;4.604.000;67;3,9;17;0;9;Cádiz;0;4,6;3,3;En forma;J18;3
 Joselu;Real Madrid;Delantero;13.307.000;67;3,7;18;5;0;Mallorca;0;5,0;2,7;En forma;J18;2
Kike García;Alavés;Delantero;1.487.000;67;3,7;18;2;1;Real Sociedad;1;4,8;2,7;En forma;J18;1
Diego Rico;Getafe;Defensa;8.927.000;66;5,1;13;0;5;Rayo Vallecano;0;4,8;5,3;En forma;J18;5
Guido Rodríguez;Betis;Centro;6.886.000;66;4,7;14;1;5;Celta;1;5,4;4,0;En forma;J18;0
Carl Starfelt;Celta;Defensa;6.774.000;66;4,1;16;1;2;Betis;0;4,7;3,7;En forma;J18;2
Roger Martí;Cádiz;Delantero;5.752.000;66;4,1;16;2;2;Granada;1;5,3;3,2;En forma;J18;0
David García;Osasuna;Defensa;8.074.000;66;3,9;17;0;2;Almería;0;4,6;3,2;En forma;J18;2
Óscar De Marcos;Athletic Club;Defensa;8.215.000;65;4,6;14;1;3;0;6,1;3,1;En forma;J18;0
Robin Le Normand;Real Sociedad;Defensa;10.270.000;65;4,3;15;1;6;Alavés;0;4,9;3,5;En forma;J18;4
Sergi Darder;Mallorca;Centro;11.424.000;65;4,1;16;0;1;Real Madrid;1;3,6;4,5;En forma;J18;2
Pathé Ciss;Rayo Vallecano;Centro;3.214.000;65;3,8;17;1;4;Getafe;1;3,1;4,4;En forma;J18;4
Andoni Gorosabel;Alavés;Defensa;3.843.000;65;3,6;18;0;4;Real Sociedad;1;3,8;3,4;En forma;J18;6
Ángel Correa;Atlético;Delantero;5.112.000;64;4,6;14;4;1;Girona;1;4,8;4,3;En forma;J18;0
Unai López;Rayo Vallecano;Centro;1.607.000;64;4,0;16;1;4;Getafe;1;4,7;3,1;En forma;J18;3
Lucas Robertone;Almería;Centro;9.997.000;63;4,5;14;0;5;Osasuna;1;4,5;4,5;En forma;J18;0
Thierry Correia;Valencia;Defensa;6.943.000;63;3,7;17;0;3;Villarreal;0;5,0;2,6;En forma;J18;-3
Eduardo Camavinga;Real Madrid;Centro;9.627.000;62;4,8;13;0;3;Mallorca;0;4,5;5,0;En forma;J18;0
 Raphinha;Barcelona;Delantero;11.775.000;62;4,4;14;3;3;Las Palmas;1;5,9;2,5;En forma;J18;11
Léo Baptistão;Almería;Delantero;2.022.000;62;4,1;15;4;4;Osasuna;1;2,7;5,4;En forma;J18;10
José Luis Gayà;Valencia;Defensa;8.865.000;61;5,1;12;1;1;Villarreal;0;6,1;3,6;En forma;J18;0
Rodrigo Riquelme;Atlético;Centro;6.973.000;61;4,4;14;2;1;Girona;1;4,3;4,5;En forma;J18;5
Cristhian Mosquera;Valencia;Defensa;5.254.000;61;3,8;16;0;1;Villarreal;0;5,0;2,9;En forma;J18;7
Gonzalo Villar;Granada;Centro;2.735.000;61;3,8;16;1;4;Cádiz;0;4,4;3,3;En forma;J18;1
Jules Koundé;Barcelona;Defensa;12.407.000;60;4,0;15;1;0;Las Palmas;1;3,8;4,3;En forma;J18;2
Luís Maximiano;Almería;Portero;4.409.000;60;4,0;15;0;1;Osasuna;1;3,7;4,3;En forma;J18;9
Sergio Akieme;Almería;Defensa;1.514.000;60;4,0;15;2;1;Osasuna;1;4,1;3,9;En forma;J18;4
Aitor Paredes;Athletic Club;Defensa;3.383.000;60;3,3;18;0;4;0;2,9;3,9;En forma;J18;5
Enzo Loiodice;Las Palmas;Centro;1.893.000;60;3,3;18;0;1;Barcelona;0;3,6;3,1;En forma;J18;5
Pacha Espino;Rayo Vallecano;Defensa;3.302.000;58;3,6;16;0;6;Getafe;1;3,6;3,7;En forma;J18;0
Cyle Larin;Mallorca;Delantero;4.314.000;58;3,4;17;1;2;Real Madrid;1;3,8;3,0;En forma;J18;2
Javi Hernández;Cádiz;Defensa;1.254.000;58;3,4;17;0;4;Granada;1;3,6;3,3;En forma;J18;0
Cristian Portu;Girona;Centro;1.246.000;58;3,4;17;2;1;Atlético;0;4,2;2,3;En forma;J18;2
Aihen Muñoz;Real Sociedad;Defensa;3.240.000;58;3,2;18;0;2;Alavés;0;3,7;2,8;En forma;J18;3
Juan Foyth;Villarreal;Defensa;8.011.000;57;4,8;12;1;1;Valencia;1;5,1;4,2;En forma;J18;0
Javier López;Alavés;Defensa;4.223.000;57;4,1;14;0;2;Real Sociedad;1;4,4;3,7;En forma;J18;3
Rubén Duarte;Alavés;Defensa;1.090.000;57;3,8;15;1;5;Real Sociedad;1;4,5;3,3;En forma;J18;3
Munir El Haddadi;Las Palmas;Delantero;4.634.000;57;3,2;18;1;2;Barcelona;0;3,3;3,1;En forma;J18;3
Martin Valjent;Mallorca;Defensa;3.174.000;56;3,5;16;0;3;Real Madrid;1;4,5;2,5;En forma;J18;0
Álex Berenguer;Athletic Club;Centro;4.711.000;56;3,3;17;2;2;0;4,3;2,1;En forma;J18;3
Iza Carcelén;Cádiz;Defensa;1.538.000;56;3,3;17;0;1;Granada;1;4,1;2,6;En forma;J18;6
Javi Muñoz;Las Palmas;Centro;3.699.000;56;3,1;18;0;2;Barcelona;0;4,0;2,4;En forma;J18;4
Chadi Riad;Betis;Defensa;6.938.000;55;4,2;13;0;0;Celta;1;4,8;3,7;En forma;J18;5
